ARTICULO;CORTE;FECHA;programa;PROCESO;BODEGA;SALDO;CORTE;TALLER;T.EXTERNO;LIMPIADO;LAVANDERIA;TERMINACION;MUESTRA;SEGUNDA;TALLER
01433300  ;00961278;25/03/2026;0000000;000001;000000; 00001; 000000; 000000; 000000; 000000; 000001; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01433300  ;00961294;30/03/2026;0000000;000001;000000; 00001; 000000; 000000; 000000; 000000; 000001; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01433300  ;00961315;17/04/2026;0000005;000000;000000; 00000; 000000; 000000; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01433300  ;00011593;22/04/2026;0000600;000000;000000; 00000; 000000; 000000; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01433400  ;00961288;25/03/2026;0000000;000001;000000; 00001; 000000; 000001; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01433500  ;00961291;26/03/2026;0000000;000001;000000; 00001; 000000; 000001; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01433500  ;00961324;17/04/2026;0000001;000000;000000; 00000; 000000; 000000; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01433600  ;00961312;10/04/2026;0000000;000001;000000; 00001; 000000; 000001; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01433700  ;00961283;20/03/2026;0000000;000001;000000; 00001; 000000; 000000; 000000; 000000; 000000; 000001; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01433800  ;00961300;06/04/2026;0000000;000001;000000; 00001; 000000; 000001; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01433900  ;00961323;17/04/2026;0000005;000000;000000; 00000; 000000; 000000; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01433900  ;00011591;17/04/2026;0000000;000604;000000; 00604; 000604; 000000; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01434100  ;00011588;08/04/2026;0000000;000600;000000; 00600; 000000; 000000; 000600; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01434100  ;00961313;10/04/2026;0000000;000005;000000; 00005; 000000; 000005; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01434800  ;00961333;24/04/2026;0000005;000000;000000; 00000; 000000; 000000; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01434800  ;09661333;24/04/2026;0000005;000000;000000; 00000; 000000; 000000; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01435500  ;00961334;27/04/2026;0000005;000000;000000; 00000; 000000; 000000; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01435600  ;00961332;24/04/2026;0000005;000000;000000; 00000; 000000; 000000; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01436400  ;00961325;17/04/2026;0000001;000000;000000; 00000; 000000; 000000; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
03430600  ;00961240;28/01/2026;0000000;000001;000000; 00001; 000000; 000001; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
